sample_id	tissue	cell_fraction	fraction
GSM3428745	tumor	Plasma cells	0.058578635878979
GSM3428745	tumor	Macrophages M0	0.0457972513276565
GSM3428745	tumor	T cells CD8	0.121299789619945
GSM3428745	tumor	Macrophages M1	0.0335090466650347
GSM3428745	tumor	T cells follicular helper	0.0185688047307112
GSM3428745	tumor	Mast cells activated	0.0100972134501289
GSM3428745	tumor	B cells memory	0
GSM3428745	tumor	NK cells activated	0
GSM3428746	tumor	T cells CD4 memory resting	0.0600365132163587
GSM3428746	tumor	Macrophages M2	0.351638579747149
GSM3428746	tumor	Plasma cells	0.0767177943350721
GSM3428746	tumor	Macrophages M0	0.0154537158340165
GSM3428746	tumor	T cells CD8	0.112988664922653
GSM3428746	tumor	Macrophages M1	0.0307576747304107
GSM3428746	tumor	T cells follicular helper	0.0583981558318657
GSM3428746	tumor	Mast cells activated	0.0411233485844424
GSM3428746	tumor	B cells memory	0.0890490391343327
GSM3428746	tumor	NK cells activated	0.0634332319810096
GSM3428747	tumor	T cells CD4 memory resting	0.368910803584629
GSM3428747	tumor	Macrophages M2	0.0938287386808948
GSM3428747	tumor	Plasma cells	0.0639239328806287
GSM3428747	tumor	Macrophages M0	0.0339580105661594
GSM3428747	tumor	T cells CD8	0
GSM3428747	tumor	Macrophages M1	0.042848099811257
GSM3428747	tumor	T cells follicular helper	0.0620386378322703
GSM3428747	tumor	Mast cells activated	0.00453221748473776
GSM3428747	tumor	B cells memory	0
GSM3428747	tumor	NK cells activated	0.0189892308863469
GSM3428748	tumor	T cells CD4 memory resting	0.0358781120436108
GSM3428748	tumor	Macrophages M2	0.183382689174491
GSM3428748	tumor	Plasma cells	0.142035874618594
GSM3428748	tumor	Macrophages M0	0
GSM3428748	tumor	T cells CD8	0.151210890652897
GSM3428748	tumor	Macrophages M1	0.220337227300396
GSM3428748	tumor	T cells follicular helper	0.0785154824490306
GSM3428748	tumor	Mast cells activated	0
GSM3428748	tumor	B cells memory	0
GSM3428748	tumor	NK cells activated	0.0435916687874495
GSM3428749	tumor	T cells CD4 memory resting	0.065260371291977
GSM3428749	tumor	Macrophages M2	0.318591729593211
GSM3428749	tumor	Plasma cells	0.0141919804730918
GSM3428749	tumor	Macrophages M0	0.43003871762977
GSM3428749	tumor	T cells CD8	0.0183716163933674
GSM3428749	tumor	Macrophages M1	0.00339796508858849
GSM3428749	tumor	T cells follicular helper	0.0114314763274372
GSM3428749	tumor	Mast cells activated	0.0681354853008789
GSM3428749	tumor	B cells memory	0.0189541801020644
GSM3428749	tumor	NK cells activated	0.0105888677181348
GSM3428750	tumor	T cells CD4 memory resting	0
GSM3428750	tumor	Macrophages M2	0.314446315694134
GSM3428750	tumor	Plasma cells	0.0696870517625992
GSM3428750	tumor	Macrophages M0	0
GSM3428750	tumor	T cells CD8	0.137798992119032
GSM3428750	tumor	Macrophages M1	0.00636344756828872
GSM3428750	tumor	T cells follicular helper	0.220071553474422
GSM3428750	tumor	Mast cells activated	0.0528684362528546
GSM3428750	tumor	B cells memory	0
GSM3428750	tumor	NK cells activated	0.0568175769131795
GSM3428751	tumor	T cells CD4 memory resting	0.185468203743722
GSM3428751	tumor	Macrophages M2	0.279083440370183
GSM3428751	tumor	Plasma cells	0.0176711566391137
GSM3428751	tumor	Macrophages M0	0
GSM3428751	tumor	T cells CD8	0.0402345112800885
GSM3428751	tumor	Macrophages M1	0.0889902064751647
GSM3428751	tumor	T cells follicular helper	0.0113352314710507
GSM3428751	tumor	Mast cells activated	0.0671996929649021
GSM3428751	tumor	B cells memory	0
GSM3428751	tumor	NK cells activated	0.0424094929391221
GSM3428752	tumor	T cells CD4 memory resting	0.143565618412763
GSM3428752	tumor	Macrophages M2	0.108057024406699
GSM3428752	tumor	Plasma cells	0.0738651742904066
GSM3428752	tumor	Macrophages M0	0.11918300623935
GSM3428752	tumor	T cells CD8	0.0412081772095811
GSM3428752	tumor	Macrophages M1	0.066072363731829
GSM3428752	tumor	T cells follicular helper	0.0991539694221395
GSM3428752	tumor	Mast cells activated	0.014203964840798
GSM3428752	tumor	B cells memory	0.0479402113738566
GSM3428752	tumor	NK cells activated	0.0754521580487835
GSM3428753	tumor	T cells CD4 memory resting	0.0287967451421468
GSM3428753	tumor	Macrophages M2	0.243088546724806
GSM3428753	tumor	Plasma cells	0.0618023714794633
GSM3428753	tumor	Macrophages M0	0
GSM3428753	tumor	T cells CD8	0.122898430318318
GSM3428753	tumor	Macrophages M1	0.150586594402022
GSM3428753	tumor	T cells follicular helper	0.0216220022326932
GSM3428753	tumor	Mast cells activated	0
GSM3428753	tumor	B cells memory	0
GSM3428753	tumor	NK cells activated	0.0405411223946407
GSM3428754	tumor	T cells CD4 memory resting	0.118977674141109
GSM3428754	tumor	Macrophages M2	0.128985383562985
GSM3428754	tumor	Plasma cells	0.0551068456396291
GSM3428754	tumor	Macrophages M0	0
GSM3428754	tumor	T cells CD8	0.12328607572816
GSM3428754	tumor	Macrophages M1	0.0689995936739959
GSM3428754	tumor	T cells follicular helper	0.0649163256055108
GSM3428754	tumor	Mast cells activated	0
GSM3428754	tumor	B cells memory	0
GSM3428754	tumor	NK cells activated	0.0776593688782643
GSM3428755	tumor	T cells CD4 memory resting	0.256764118360496
GSM3428755	tumor	Macrophages M2	0.130746339014208
GSM3428755	tumor	Plasma cells	0.133182336981832
GSM3428755	tumor	Macrophages M0	0
GSM3428755	tumor	T cells CD8	0.0850705906427609
GSM3428755	tumor	Macrophages M1	0.095291807979653
GSM3428755	tumor	T cells follicular helper	0
GSM3428755	tumor	Mast cells activated	0
GSM3428755	tumor	B cells memory	0.0484429462587153
GSM3428755	tumor	NK cells activated	0.0753506348429182
GSM3428756	tumor	T cells CD4 memory resting	0.158305424023872
GSM3428756	tumor	Macrophages M2	0.266118190513193
GSM3428756	tumor	Plasma cells	0.107171126731431
GSM3428756	tumor	Macrophages M0	0
GSM3428756	tumor	T cells CD8	0.140920393532121
GSM3428756	tumor	Macrophages M1	0.0527628643700125
GSM3428756	tumor	T cells follicular helper	0.0604930450121821
GSM3428756	tumor	Mast cells activated	0
GSM3428756	tumor	B cells memory	0.0474793988976992
GSM3428756	tumor	NK cells activated	0.0622746491932637
GSM3428757	tumor	T cells CD4 memory resting	0.261032055851658
GSM3428757	tumor	Macrophages M2	0.19213057160447
GSM3428757	tumor	Plasma cells	0.0811885677253354
GSM3428757	tumor	Macrophages M0	0.176867693352698
GSM3428757	tumor	T cells CD8	0.0330669981028622
GSM3428757	tumor	Macrophages M1	0.0528691570976797
GSM3428757	tumor	T cells follicular helper	0.0205245985368466
GSM3428757	tumor	Mast cells activated	0.0412290043193946
GSM3428757	tumor	B cells memory	0
GSM3428757	tumor	NK cells activated	0.0345949167540149
GSM3428758	tumor	T cells CD4 memory resting	0.0210752732176768
GSM3428758	tumor	Macrophages M2	0.312851971093195
GSM3428758	tumor	Plasma cells	0.0513301362651267
GSM3428758	tumor	Macrophages M0	0
GSM3428758	tumor	T cells CD8	0.1654179536513
GSM3428758	tumor	Macrophages M1	0.017747290987169
GSM3428758	tumor	T cells follicular helper	0.09091751160708
GSM3428758	tumor	Mast cells activated	0.00378436178223077
GSM3428758	tumor	B cells memory	0
GSM3428758	tumor	NK cells activated	0.0835693251667061
GSM3428759	tumor	T cells CD4 memory resting	0.129459639013308
GSM3428759	tumor	Macrophages M2	0.368786981375128
GSM3428759	tumor	Plasma cells	0.0373863764381836
GSM3428759	tumor	Macrophages M0	0
GSM3428759	tumor	T cells CD8	0.0596949418229626
GSM3428759	tumor	Macrophages M1	0.0507562825417581
GSM3428759	tumor	T cells follicular helper	0.102328895676815
GSM3428759	tumor	Mast cells activated	0
GSM3428759	tumor	B cells memory	0
GSM3428759	tumor	NK cells activated	0.0925726115022354
GSM3428760	tumor	T cells CD4 memory resting	0.083240346447845
GSM3428760	tumor	Macrophages M2	0.410803289580728
GSM3428760	tumor	Plasma cells	0.0251615030717085
GSM3428760	tumor	Macrophages M0	0
GSM3428760	tumor	T cells CD8	0.0998206611778953
GSM3428760	tumor	Macrophages M1	0.0196679131957867
GSM3428760	tumor	T cells follicular helper	0.0282925168514714
GSM3428760	tumor	Mast cells activated	0.0939497752520991
GSM3428760	tumor	B cells memory	0
GSM3428760	tumor	NK cells activated	0.0632333876195102
GSM3428761	tumor	T cells CD4 memory resting	0.155000105975158
GSM3428761	tumor	Macrophages M2	0.233271453326791
GSM3428761	tumor	Plasma cells	0.0409488205334019
GSM3428761	tumor	Macrophages M0	0
GSM3428761	tumor	T cells CD8	0.163604053070849
GSM3428761	tumor	Macrophages M1	0.0780953543516213
GSM3428761	tumor	T cells follicular helper	0.145538880796361
GSM3428761	tumor	Mast cells activated	0
GSM3428761	tumor	B cells memory	0
GSM3428761	tumor	NK cells activated	0.0705916008444252
GSM3428762	tumor	T cells CD4 memory resting	0.146136895126604
GSM3428762	tumor	Macrophages M2	0.210226485358853
GSM3428762	tumor	Plasma cells	0.0618120475024816
GSM3428762	tumor	Macrophages M0	0.148297439570923
GSM3428762	tumor	T cells CD8	0.0641397492755911
GSM3428762	tumor	Macrophages M1	0.0831579774292299
GSM3428762	tumor	T cells follicular helper	0.0472717525347324
GSM3428762	tumor	Mast cells activated	0.0699239029511177
GSM3428762	tumor	B cells memory	0
GSM3428762	tumor	NK cells activated	0.0779230047487652
GSM3428763	tumor	T cells CD4 memory resting	0.252812924373745
GSM3428763	tumor	Macrophages M2	0.104000856680222
GSM3428763	tumor	Plasma cells	0.164606856571828
GSM3428763	tumor	Macrophages M0	0.0257253818775338
GSM3428763	tumor	T cells CD8	0.0783610219792315
GSM3428763	tumor	Macrophages M1	0.0599578445131099
GSM3428763	tumor	T cells follicular helper	0.0566933639201047
GSM3428763	tumor	Mast cells activated	0
GSM3428763	tumor	B cells memory	0.0786621595582673
GSM3428763	tumor	NK cells activated	0.0720079737767801
GSM3428764	tumor	T cells CD4 memory resting	0.215869459235188
GSM3428764	tumor	Macrophages M2	0.0975156861867327
