gene	logFC_121248	t_121248	p_121248	FDR_121248	logFC_41804	t_41804	p_41804	FDR_41804
SUGP1	0.10983730501930543	2.6826340037359153	0.008459521902693772	0.01809083562222745	0.038840122149999205	0.29440652930178607	0.769952497584693	0.8903240846246984
SUGP2	0.15881825482625414	2.5324481538883625	0.012772628913453928	0.02588544713651934	0.26204642194999983	1.450470352880957	0.1546361662080846	0.36158234155911684
SUGT1	0.08818002316602246	1.2477960837378017	0.2148192646506726	0.2897915694246312	0.02495120550000019	0.23675894948131737	0.8140384185743738	0.9132394326632163
SUGT1P1	0.0011996988416990235	0.031189161734353283	0.9751765655748124	0.9818113408751685	-0.2303469389999994	-0.8618655734686352	0.3938409383030784	0.6233880470717358
SUGT1P3	-0.08734671428571411	-1.540832721345547	0.12629855913259497	0.1853702555030928	-0.16563422494999952	-0.6702842651288627	0.5064846002088713	0.7163097008220257
SULF1	0.5828008687258682	2.5196851594756424	0.013217612026004699	0.02664467745358912	1.201474206099999	2.6157613006569362	0.012454528153824406	0.07394196259010434
SULF2	-1.5856345096525075	-7.819309161790121	3.885862391017952e-12	1.1392070699705324e-10	-0.7837300015499994	-2.207645574401667	0.032999174116761856	0.13804442972344627
SULT1A1	-0.9485420463320455	-6.167342408946843	1.245774303509092e-8	1.2728665300250484e-7	-0.7243242750500004	-2.3059332481459536	0.026316673879370884	0.11922323380925672
SULT1A2	-0.981357135135134	-6.4175460377450175	3.837403776935865e-9	4.549048738947459e-8	-0.9309163785500003	-2.626791872666179	0.012115899685485087	0.07278574036408646
SULT1B1	-0.4689826216216205	-3.594169115007821	4.929184649028334e-4	0.0015049060164254507	-0.7068808361500004	-1.6298652290244287	0.1108918213239543	0.29583392068432396
SULT1C2	2.1071284285714262	5.7639144555601955	7.961775320847875e-8	6.582763152960996e-7	3.1290470595999986	5.079800225441689	8.93996979842389e-6	6.822924750357827e-4
SULT1C4	0.038495972972972935	0.36415509344436703	0.716458086159029	0.775340169554617	-0.7093250944500002	-1.6708347198547344	0.10247315100978602	0.28123876531868225
SULT1E1	-2.1163528339768316	-8.018514761261214	1.4137293037619882e-12	4.760503644695748e-11	-1.4975805699499982	-3.0784549619305546	0.003727649594417876	0.0333008466642185
SULT2A1	-1.059198038610036	-3.295265747963872	0.0013327409470140232	0.003609451421862058	-1.1646915632499997	-2.434112052545419	0.01943271051996872	0.09835266448135867
SULT2B1	-0.07285544787644799	-1.2858290526206442	0.20126793048278827	0.27485600425589135	-0.3385327387999996	-0.8733519138742457	0.3876253717980759	0.6181828968272394
SULT4A1	0.2436937065637062	2.5421648202903286	0.012442919474167372	0.025339602257885112	0.4443905144499997	0.9064804086401884	0.3700486660643786	0.60326438172567165
SUMF1	0.10145193050192912	1.5208461701376375	0.13123693340898424	0.19155854609445308	0.4122605283000004	2.515281587662702	0.015963559776483643	0.08648949335438323
SUMF2	0.15554438610038615	2.3986581728943195	0.018178813871462102	0.03516305692209809	-0.08909437704999955	-0.551232378554531	0.5845058576843172	0.7727455890486783
SUMO1	0.01452320463320409	0.311189962036964	0.75625937235329	0.8085574622432476	-0.15837712699999973	-1.8712101762136537	0.06855935452633806	0.2188687465528958
SUMO3	0.19885450193050155	2.6144091427827387	0.010221714874459132	0.021378037079522114	0.1795141924999995	1.3528193933694403	0.18362512518109722	0.4004408368986875
SUMO4	0.44635084942084813	6.938154648602216	3.124956800996361e-10	5.002000389409407e-9	0.320765636	2.557774843585574	0.014381913166663847	0.08077711260377968
SUN1	0.28368955984555977	3.711832023744916	3.279837764927209e-4	0.0010462733843306185	0.296253499500001	2.4949550792429527	0.016774884412083538	0.08928143574326017
SUN2	-0.3015003436293432	-4.373302285062641	2.8417885200243535e-5	1.2168784581907434e-4	-0.31628161594999976	-1.7991232927082983	0.07946092897962098	0.24038154896194153
SUN3	0.2236639806949802	2.2869811624332623	0.02415730991466183	0.04500248030946637	-0.0934099105	-0.308427147023575	0.7593397572598901	0.8834841578962952
SUN5	-0.13490686486486436	-3.3848960484308357	9.951643447127362e-4	0.0028027366867096892	0.07574145635000096	0.2152426845495235	0.8306594366217089	0.9218107705760655
SUOX	-0.609705918918918	-6.120286754921002	1.551141791258208e-8	1.539324242027363e-7	-0.46075187384999977	-2.4757609094204116	0.01757529689795398	0.09199120149691842
SUPT16H	0.5813927722007713	8.691721050455099	4.4665479300390136e-14	2.4229630205022112e-12	0.3236737634999993	2.1250507158387517	0.03973806164310869	0.1546372191274675
SUPT20H	0.1569679575289572	2.7649668491362625	0.006702094472936352	0.014766601951765873	0.07267238710000012	0.5871504493067901	0.5603650628673457	0.7570038400956968
SUPT3H	0.3858864285714282	4.330685161366322	3.352148331008547e-5	1.404184144895608e-4	0.12134206779999956	0.7801404982654042	0.4398483714666823	0.6627106419673626
SUPT4H1	0.5811590077220067	7.610363508194923	1.1146553076410066e-11	2.8425670465550783e-10	0.2549351290000001	1.6695152838289704	0.10273581883447788	0.28163985722827944
SUPT5H	0.09629538610038546	1.8936479171216634	0.06096241379326592	0.099797967131616	-0.06156557479999975	-0.49150380160264306	0.6257260337123467	0.8014259545068698
SUPT6H	0.03605049420849402	0.639952047832088	0.5235665136111147	0.6038974473478792	0.10121386774999942	0.9584244678261767	0.3435411399656636	0.5780647655432527
SUPT7L	0.23553268339768313	3.735358913580922	3.0201061911916936e-4	9.721274042171191e-4	0.08143251799999933	0.8249136418483306	0.41425772341148126	0.6425203748570376
SUPV3L1	0.10548989189189112	1.860879253388132	0.06549617620992194	0.10606255647245083	0.24404116485000005	1.6737423154858444	0.10189627517852118	0.2803275166255686
SURF1	-0.18843244401544323	-2.847762261679214	0.005276672032647711	0.011949140820964571	-0.25229965435000107	-1.6203736668076278	0.11292099000810531	0.299374807513262
SURF2	0.040753359073358864	0.6850541247346599	0.49478551287221817	0.5776038028071998	-0.29484524369999904	-0.9112360857753697	0.3675682850914872	0.6008957903617834
SURF4	0.08002669498069459	1.1756725504266168	0.2423251735162501	0.32116611829031794	-0.05427020699999895	-0.5759209506069486	0.5678584444741639	0.7610982589430985
SURF6	0.1591837451737444	2.6929294051686816	0.008218951429241136	0.01763879739939645	-0.33769613754999966	-1.9083442499627283	0.06345938427789455	0.2082099526692368
SUSD1	0.019790972972973924	0.20534303612390536	0.8376927876072944	0.8756105525357492	0.15839314709999988	0.7302159834328449	0.4694653116169668	0.6880198695414592
SUSD2	-0.2667890965250965	-1.945232536234602	0.05436093684419958	0.09044210695066279	-0.19650539425000088	-0.9168952325622333	0.36463072198177793	0.5979954836602545
SUSD3	-0.37959344015444046	-2.319413536381904	0.022264295565909368	0.04192116519044633	-0.5556094746499999	-1.344383997938708	0.18631358139728524	0.4041562959847573
SUSD4	0.05680350193050207	0.3738532600920611	0.7092504416827792	0.769876489916442	0.4903417310499996	0.6633813224433925	0.5108486127021841	0.7200472929508591
SUSD5	-0.07426606177606188	-0.9770828699954408	0.33072368758506765	0.41517961542232085	-0.15927866189999912	-0.38347708548241166	0.7033737105556543	0.851588374559868
SUSD6	0.09540787644787621	1.3196071538004468	0.18977208312371022	0.26148806766263816	-0.010876617500000935	-0.07285246626516526	0.942282482730376	0.9741680930960444
SUV39H1	0.24118132432432282	3.7401544554858552	2.969617167388561e-4	9.575760783012654e-4	0.49569421144999926	2.7531482355414445	0.008797085545732351	0.05895348178567955
SUV39H2	0.46532266409266354	5.0781725003851514	1.6138959188342223e-6	9.402002657311419e-6	0.7799285651999998	4.303626461963486	1.0369329105226261e-4	0.003226953018969769
SUZ12	0.5551575984555971	8.782131789321857	2.798458837783224e-14	1.6147181723686599e-12	0.24210162209999972	1.7204130042758121	0.0929981903472518	0.26430013441090455
SUZ12P1	0.5311749652509643	6.525894890322337	2.2909822538798003e-9	2.875691688900594e-8	0.3637115477000003	2.5951194397331494	0.013111667412855025	0.07616554043519927
SV2A	-0.22254960617760605	-3.8844595385261	1.7762088494742775e-4	6.082788271822096e-4	0.1385520936500002	0.3688782677956226	0.7141417905112071	0.858509332356468
SV2B	-0.005455073359073563	-0.033401127972479384	0.9734167018287232	0.9805990762448453	0.2791012363499998	0.6662953727033589	0.5090038788630935	0.7183314763791925
SV2C	0.0394773552123552	1.006199049964744	0.31658125655963454	0.4007327363364405	-1.0949415541999996	-2.352978944196102	0.023569601002153617	0.11127804714138732
SVBP	0.29314274131274076	4.483190668349948	1.8478008623373345e-5	8.263818289149679e-5	0.3838849619500008	2.4087121483249154	0.02065105673869167	0.10228197569142987
SVEP1	-0.8853550115830104	-6.375555410872662	4.682200537192724e-9	5.432101775229511e-8	-1.6321276384999992	-2.550297453802849	0.014649402298950892	0.08181474921927567
SVIL	0.3461482123552126	2.367863326032724	0.019679937363136824	0.03765813489270895	0.2048068041999996	1.1554901887099973	0.25466793399802123	0.4860739194100263
SVIL-AS1	-0.1175688301158302	-2.332784758005321	0.021522728106693874	0.040711643869992334	0.5797296292999999	2.90610770011137	0.0059100502091804005	0.04512506921737496
SVIP	0.04259353281853273	0.46052013405900477	0.646073944549981	0.7155463833713017	0.07625316159999936	0.4045367318261985	0.6879487587744015	0.8420749142081555
SVOP	-0.08485098455598482	-2.498589251040346	0.013983659113267176	0.027984042013882323	0.05345301124999986	0.11487153185429294	0.9091151380231309	0.9587279915373582
SVOPL	-0.006461308880308954	-0.12563809575150525	0.9002532720059037	0.925220137293037	-0.2828589824499997	-0.7805678247507891	0.4395997574013868	0.6625932719015512
SWAP70	0.775868988416987	6.657519241465005	1.2187876148770924e-9	1.660130681679486e-8	0.4755989538499994	2.453429019847029	0.018550155075199692	0.09546286334299003
SWI5	0.1652402007722003	1.859172728907778	0.06573981126065388	0.10640956279135382	-0.11250405760000043	-0.678396252147307	0.5013823356047644	0.7125611261408799
SWSAP1	0.03395688416988444	0.47908981172728293	0.6328486876353527	0.7040780234099193	-0.31579800844999983	-1.7742594464541195	0.08354556969074102	0.24769889293753433
SWT1	0.3613031351351344	6.306459086032221	6.488398393278916e-9	7.212168127184275e-8	0.59738032385	3.69508896886492	6.511509421297933e-4	0.010937827369999532
SYAP1	-0.05211266409266494	-0.6408013863662866	0.523016588089351	0.6033078714979135	-0.03650496309999863	-0.2843020409650193	0.777628914400333	0.8945343036577739
SYBU	-0.3838027799227795	-1.9119797748570377	0.05854312370547891	0.09638878065132324	-0.4193401529999991	-1.1549911019973649	0.2548698925752447	0.4861614146956593
SYCE1	0.08744967181467142	1.335878960102628	0.18441248837649746	0.25518605977442427	0.21215598559999996	0.3548173245900922	0.7245693004552024	0.8647367088825378
SYCE1L	-0.26861578378378387	-3.898183327224322	1.6903585352375539e-4	5.824547634567164e-4	-1.2364092351000007	-3.2158380696465803	0.0025584027306124295	0.026276173087352302
SYCE2	-0.04645358301158307	-0.9859814543906679	0.326358097867978	0.4107421721200026	0.6423394651000001	2.210314676270872	0.03279942379587091	0.13739377350887347
SYCE3	0.10206630888030875	2.0426643260984974	0.04353456442316971	0.07492503519104245	-0.08092524225000032	-0.20586289182693007	0.8379303567700243	0.9248778173048705
SYCN	-0.10867332432432396	-2.417642407042466	0.01730488842041863	0.03373359958861605	0.21294702165000026	0.5792488865709725	0.5656325509157931	0.7597064015850362
SYCP1	-0.0825105598455597	-2.310798379435765	0.02275394287366979	0.042721087461672615	-0.26863301624999997	-0.5818800314960353	0.5638757897546489	0.7588661984717806
