sample_id	tissue	dataset	score	value
GSM3428813	non_tumor	GSE121248	HepLossScore	1.125469574423748
GSM3428813	non_tumor	GSE121248	HCCStateScore	-2.1299115394072317
GSM3428814	non_tumor	GSE121248	ProlifHubScore	-1.253927739999782
GSM3428814	non_tumor	GSE121248	HepLossScore	1.4484653217220609
GSM3428814	non_tumor	GSE121248	HCCStateScore	-2.7023930617218426
GSM3428815	non_tumor	GSE121248	ProlifHubScore	-1.2620300746049078
GSM3428815	non_tumor	GSE121248	HepLossScore	0.9229473151166193
GSM3428815	non_tumor	GSE121248	HCCStateScore	-2.184977389721527
GSM3428816	non_tumor	GSE121248	ProlifHubScore	-1.2140562994861996
GSM3428816	non_tumor	GSE121248	HepLossScore	1.262001528869571
GSM3428816	non_tumor	GSE121248	HCCStateScore	-2.4760578283557706
GSM3428817	non_tumor	GSE121248	ProlifHubScore	-1.140361437601822
GSM3428817	non_tumor	GSE121248	HepLossScore	0.7764690725718719
GSM3428817	non_tumor	GSE121248	HCCStateScore	-1.916830510173694
GSM3428818	non_tumor	GSE121248	ProlifHubScore	-1.5385583430493537
GSM3428818	non_tumor	GSE121248	HepLossScore	1.1012970813656318
GSM3428818	non_tumor	GSE121248	HCCStateScore	-2.6398554244149857
GSM3428819	non_tumor	GSE121248	ProlifHubScore	-0.6162238889146316
GSM3428819	non_tumor	GSE121248	HepLossScore	1.4709277507183767
GSM3428819	non_tumor	GSE121248	HCCStateScore	-2.0871516396330083
GSM3428820	non_tumor	GSE121248	ProlifHubScore	-1.1463278568064177
GSM3428820	non_tumor	GSE121248	HepLossScore	1.1073947463686948
GSM3428820	non_tumor	GSE121248	HCCStateScore	-2.2537226031751123
GSM3428821	non_tumor	GSE121248	ProlifHubScore	-0.9087409151169729
GSM3428821	non_tumor	GSE121248	HepLossScore	0.9005559896396083
GSM3428821	non_tumor	GSE121248	HCCStateScore	-1.809296904756581
GSM3428822	non_tumor	GSE121248	ProlifHubScore	-0.9820878484521912
GSM3428822	non_tumor	GSE121248	HepLossScore	0.8760700499086836
GSM3428822	non_tumor	GSE121248	HCCStateScore	-1.8581578983608749
GSM1024521	tumor	GSE41804	ProlifHubScore	0.5611595268799116
GSM1024521	tumor	GSE41804	HepLossScore	-0.15930238357919901
GSM1024521	tumor	GSE41804	HCCStateScore	0.7204619104591106
GSM1024522	tumor	GSE41804	ProlifHubScore	0.9023134429270269
GSM1024522	tumor	GSE41804	HepLossScore	-0.4091754296114651
GSM1024522	tumor	GSE41804	HCCStateScore	1.311488872538492
GSM1024523	tumor	GSE41804	ProlifHubScore	1.2045921419241898
GSM1024523	tumor	GSE41804	HepLossScore	-1.2229363339687285
GSM1024523	tumor	GSE41804	HCCStateScore	2.4275284758929185
GSM1024524	tumor	GSE41804	ProlifHubScore	0.9705567774618175
GSM1024524	tumor	GSE41804	HepLossScore	-0.9073226792541276
GSM1024524	tumor	GSE41804	HCCStateScore	1.8778794567159451
GSM1024525	tumor	GSE41804	ProlifHubScore	-0.460560239567857
GSM1024525	tumor	GSE41804	HepLossScore	0.7000454854849709
GSM1024525	tumor	GSE41804	HCCStateScore	-1.1606057250528279
GSM1024526	tumor	GSE41804	ProlifHubScore	0.33225515158865626
GSM1024526	tumor	GSE41804	HepLossScore	-1.3405432853176427
GSM1024526	tumor	GSE41804	HCCStateScore	1.672798436906299
GSM1024527	tumor	GSE41804	ProlifHubScore	0.8539227503771545
GSM1024527	tumor	GSE41804	HepLossScore	-1.1389875845334863
GSM1024527	tumor	GSE41804	HCCStateScore	1.9929103349106407
GSM1024528	tumor	GSE41804	ProlifHubScore	0.7958647688099592
GSM1024528	tumor	GSE41804	HepLossScore	-0.958232482418291
GSM1024528	tumor	GSE41804	HCCStateScore	1.75409725122825
GSM1024529	tumor	GSE41804	ProlifHubScore	0.23829191322447
GSM1024529	tumor	GSE41804	HepLossScore	0.07927022074717788
GSM1024529	tumor	GSE41804	HCCStateScore	0.15902169247729211
GSM1024530	tumor	GSE41804	ProlifHubScore	0.3893839129756814
GSM1024530	tumor	GSE41804	HepLossScore	-0.6905000557264779
GSM1024530	tumor	GSE41804	HCCStateScore	1.0798839687021593
GSM1024531	non_tumor	GSE41804	ProlifHubScore	-0.5734540809396405
GSM1024531	non_tumor	GSE41804	HepLossScore	0.6781395996786913
GSM1024531	non_tumor	GSE41804	HCCStateScore	-1.2515936806183316
GSM1024532	non_tumor	GSE41804	ProlifHubScore	-1.1548384851811964
GSM1024532	non_tumor	GSE41804	HepLossScore	0.9660689451272964
GSM1024532	non_tumor	GSE41804	HCCStateScore	-2.1209074303084927
GSM1024533	non_tumor	GSE41804	ProlifHubScore	-0.31511872095522525
GSM1024533	non_tumor	GSE41804	HepLossScore	0.8681257774105674
GSM1024533	non_tumor	GSE41804	HCCStateScore	-1.1832444983657926
GSM1024534	non_tumor	GSE41804	ProlifHubScore	-0.5090874266521555
GSM1024534	non_tumor	GSE41804	HepLossScore	0.8114828796841677
GSM1024534	non_tumor	GSE41804	HCCStateScore	-1.320570306336323
GSM1024535	non_tumor	GSE41804	ProlifHubScore	0.9520053912181712
GSM1024535	non_tumor	GSE41804	HepLossScore	-0.9068845725535293
GSM1024535	non_tumor	GSE41804	HCCStateScore	1.8588899637717005
GSM1024536	non_tumor	GSE41804	ProlifHubScore	-0.6895893359666141
GSM1024536	non_tumor	GSE41804	HepLossScore	0.8058826538239627
GSM1024536	non_tumor	GSE41804	HCCStateScore	-1.4954719897905768
GSM1024537	non_tumor	GSE41804	ProlifHubScore	-0.8313461347676763
GSM1024537	non_tumor	GSE41804	HepLossScore	1.0020512423700123
GSM1024537	non_tumor	GSE41804	HCCStateScore	-1.8333973771376886
GSM1024538	non_tumor	GSE41804	ProlifHubScore	-0.6874594548652905
GSM1024538	non_tumor	GSE41804	HepLossScore	0.8422091114380703
GSM1024538	non_tumor	GSE41804	HCCStateScore	-1.5296685663033607
GSM1024539	non_tumor	GSE41804	ProlifHubScore	-0.7756084952548542
GSM1024539	non_tumor	GSE41804	HepLossScore	0.7861533317625631
GSM1024539	non_tumor	GSE41804	HCCStateScore	-1.5617618270174174
GSM1024540	non_tumor	GSE41804	ProlifHubScore	-0.8733132180326886
GSM1024540	non_tumor	GSE41804	HepLossScore	0.6783393108874484
GSM1024540	non_tumor	GSE41804	HCCStateScore	-1.5516525289201368
GSM1024541	tumor	GSE41804	ProlifHubScore	1.1822563284310805
GSM1024541	tumor	GSE41804	HepLossScore	-1.5310182481565484
GSM1024541	tumor	GSE41804	HCCStateScore	2.713274576587629
GSM1024542	tumor	GSE41804	ProlifHubScore	0.6839941538979983
GSM1024542	tumor	GSE41804	HepLossScore	-0.7575261732100429
GSM1024542	tumor	GSE41804	HCCStateScore	1.4415203271080412
GSM1024543	tumor	GSE41804	ProlifHubScore	1.426136673939459
GSM1024543	tumor	GSE41804	HepLossScore	-1.388489326039191
GSM1024543	tumor	GSE41804	HCCStateScore	2.81462599997865
GSM1024544	tumor	GSE41804	ProlifHubScore	1.1399896186546565
GSM1024544	tumor	GSE41804	HepLossScore	-0.9392311480273902
GSM1024544	tumor	GSE41804	HCCStateScore	2.0792207666820466
