gene	logFC	AveExpr	t	p_value	FDR	B	dataset
MLF2	-0.4157878579500002	9.836790900125	-2.7639743312157594	0.008555985166629951	0.05781868447645273	-2.8653754393005566	GSE41804
MLH1	0.1705403590499999	9.126305375025	1.3737615916405712	0.17707955752785892	0.39106716902573757	-5.414206914819841	GSE41804
MLH3	0.012473282100000238	8.89378995805	0.08679596277467747	0.9312618311267813	0.9690843193886755	-6.325401859984451	GSE41804
MLIP	-0.6986675336000008	8.4916130691	-1.3182868721836793	0.19482217606126734	0.4155880334483993	-5.48505975053851	GSE41804
MLK7-AS1	-0.18167458154999994	6.777771308225	-0.8066374165073359	0.42459164910016833	0.6513211153772671	-6.008811790961492	GSE41804
MLKL	0.09787766014999977	8.256974867175	0.566571815511753	0.5741347947032842	0.7659103523085897	-6.170448506896668	GSE41804
MLLT1	5.505710000004272e-4	8.53049600995	0.004865709462547057	0.9961416528049012	0.9984365927966188	-6.329129273135596	GSE41804
MLLT10	-0.034396403499999624	11.64031749025	-0.36665682556945595	0.7157855804830584	0.8594251201183094	-6.262522681088903	GSE41804
MLLT11	0.55549730225	8.185126115775	1.4825330872510012	0.14594618462538914	0.3492992487422978	-5.2676300611947	GSE41804
MLLT3	-0.10084007499999936	7.1329512064	-0.32317905994136936	0.748224046237298	0.8771134408450658	-6.277365287280348	GSE41804
MLLT6	0.1255232863499999	9.502062174725	0.696191882131423	0.49028888887023747	0.7042095872957594	-6.090026526469129	GSE41804
MLN	0.6222333646499998	4.519108550025	1.7817198828948069	0.08230183326642178	0.2456520004177378	-4.813951587450862	GSE41804
MLNR	0.09937338985000005	3.440722703025	0.2507860446767339	0.8032487522703039	0.9073682097676009	-6.2979466589224	GSE41804
MLPH	-0.19689544944999973	9.734688454425001	-0.44995561586307503	0.6551440279952152	0.82102325675956	-6.228901624020838	GSE41804
