gene	beta_injury_index	AveExpr	t	p_value	FDR	B	logFC	P.Value	adj.P.Val
HSD11B2	-0.008042199505123828	4.5174621875	-0.2253777356308391	0.8220373101651048	0.8738163412833037	-6.564421563553049	-0.008042199505123828	0.8220373101651048	0.8738163412833037
KLK8	0.0060025565828522925	4.913735078125	0.2251556287983225	0.8222097232957634	0.8739569074445512	-6.564471026153546	0.0060025565828522925	0.8222097232957634	0.8739569074445512
RGS22	-0.005532907417477721	3.2167885156250002	-0.22463671091051696	0.8226125734535339	0.8743366362615712	-6.564586397863357	-0.005532907417477721	0.8226125734535339	0.8743366362615712
FAM230B	0.008696193855113391	3.627636796875	0.2245919098434827	0.8226473559677092	0.8743366362615712	-6.564596346070892	0.008696193855113391	0.8226473559677092	0.8743366362615712
TIPARP-AS1	-0.00617885677030062	2.535983671875	-0.22446894089486183	0.8227428280320939	0.874395384902391	-6.564623641494781	-0.00617885677030062	0.8227428280320939	0.874395384902391
ZNF385C	0.005722929824648586	3.509042734375	0.22433752201254334	0.8228448634887017	0.8744611029102412	-6.56465279603879	0.005722929824648586	0.8228448634887017	0.8744611029102412
SAV1	0.008567946457364506	6.85439890625	0.2240144385280677	0.8230957228985993	0.874662007206753	-6.56472439777572	0.008567946457364506	0.8230957228985993	0.874662007206753
LINC00836	-0.00518304778482191	2.50332265625	-0.22399047945955142	0.8231143267378954	0.874662007206753	-6.56472970347585	-0.00518304778482191	0.8231143267378954	0.874662007206753
PITHD1	-0.004387168853242944	8.889934453125	-0.2237545204957525	0.8232975505269711	0.8748139711124072	-6.564781925946097	-0.004387168853242944	0.8232975505269711	0.8748139711124072
LOC101927266	0.006266578583235365	6.61730046875	0.2229727794767803	0.823904647471609	0.8754162944585507	-6.564954548027687	0.006266578583235365	0.823904647471609	0.8754162944585507
OR1D5	0.005638005395669261	3.50971421875	0.22286825503930868	0.823985828818343	0.8754597896984183	-6.564977583095847	0.005638005395669261	0.823985828818343	0.8754597896984183
TEX28	0.006359761662966184	4.14641546875	0.2228093364346621	0.8240315901689259	0.8754656498629863	-6.564990562806142	0.006359761662966184	0.8240315901689259	0.8754656498629863
LMX1B	-0.005856606314313768	4.1661667187499996	-0.22258069667344624	0.8242091775688747	0.8756115569279024	-6.565040899445408	-0.005856606314313768	0.8242091775688747	0.8756115569279024
MICU1	0.006726308472432544	8.628958203125	0.22238600581696072	0.824360403600919	0.8757294456966738	-6.565083721288127	0.006726308472432544	0.824360403600919	0.8757294456966738
NQO2	-0.0111232063960019	9.855941875	-0.22223880666397353	0.8244747448529868	0.8757812719083659	-6.565116072573923	-0.0111232063960019	0.8244747448529868	0.8757812719083659
C19ORF53	0.005536234806226791	8.77908046875	0.22221954104465144	0.824489710265776	0.8757812719083659	-6.565120305168861	0.005536234806226791	0.824489710265776	0.8757812719083659
KY	0.005784770099773748	4.702222578125	0.22206543690656322	0.8246094197202163	0.875865659529974	-6.565154148158865	0.005784770099773748	0.8246094197202163	0.875865659529974
PCDHGC4	0.005915135915954335	4.48924390625	0.22187252077152372	0.8247592844923071	0.8759243153370534	-6.565196481630818	0.005915135915954335	0.8247592844923071	0.8759243153370534
MIOX	-0.005025874220821697	4.95076421875	-0.22181671687537716	0.8248026363387319	0.8759243153370534	-6.565208720369406	-0.005025874220821697	0.8248026363387319	0.8759243153370534
SEC11C	0.006482618171895502	9.424610078125	0.22180733925991844	0.8248099214914502	0.8759243153370534	-6.565210776737248	0.006482618171895502	0.8248099214914502	0.8759243153370534
MIR646HG	-0.008691143653794486	3.23248625	-0.22178701565816078	0.8248257102636052	0.8759243153370534	-6.565215233094512	-0.008691143653794486	0.8248257102636052	0.8759243153370534
SLC16A1	0.015596861224106591	7.947535	0.2217163588344756	0.8248806019033834	0.8759398454090456	-6.565230722844971	0.015596861224106591	0.8248806019033834	0.8759398454090456
LINC00824	0.006628059409026279	4.214406015625	0.22135503119188302	0.8251613224637471	0.8761562937703553	-6.565309857843989	0.006628059409026279	0.8251613224637471	0.8761562937703553
ALG14	0.007786736680792373	7.602455625	0.22135031292823495	0.8251649882992356	0.8761562937703553	-6.5653108903460895	0.007786736680792373	0.8251649882992356	0.8761562937703553
LHX3	-0.0054082945823965166	4.09057046875	-0.2210537644056295	0.8253953981861095	0.8763449201541943	-6.565375740213305	-0.0054082945823965166	0.8253953981861095	0.8763449201541943
TCF7L1	-0.007677419029409619	6.228369921875	-0.22101797166882967	0.8254232091683579	0.8763449201541943	-6.565383561570325	-0.007677419029409619	0.8254232091683579	0.8763449201541943
LOC100128281	-0.004677298511696172	2.9010078125	-0.22078012502705296	0.8256080218076851	0.8764983552163287	-6.5654355031941884	-0.004677298511696172	0.8256080218076851	0.8764983552163287
TRPC5	0.004742003387219975	2.271116640625	0.22065713193655923	0.8257035942727674	0.8765209359403888	-6.565462340852975	0.004742003387219975	0.8257035942727674	0.8765209359403888
LOC285857	-0.005559684287733447	2.492504453125	-0.22061217006143516	0.8257385328001177	0.8765209359403888	-6.5654721480112475	-0.005559684287733447	0.8257385328001177	0.8765209359403888
KIFC1	0.006508653784728977	5.7269946875	0.22059718896503588	0.8257501742392492	0.8765209359403888	-6.565475415269127	0.006508653784728977	0.8257501742392492	0.8765209359403888
LINC01153	-0.005814248820186288	2.29825921875	-0.2204290163197839	0.8258808596971214	0.8765977997985049	-6.565512077170575	-0.005814248820186288	0.8258808596971214	0.8765977997985049
LOC102723701	-0.007586614103562339	5.148753671875	-0.2204002921425623	0.8259031814862482	0.8765977997985049	-6.565518336292907	-0.007586614103562339	0.8259031814862482	0.8765977997985049
KRTAP1-3	-0.006753568966152779	5.43353	-0.22024808647852964	0.8260214641069183	0.876680567365232	-6.565551488962617	-0.006753568966152779	0.8260214641069183	0.876680567365232
LINC00943	-0.006413159681364237	3.511579453125	-0.22010302251282532	0.8261342004623631	0.8767473307451521	-6.565583064763749	-0.006413159681364237	0.8261342004623631	0.8767473307451521
SRP68	-0.005547874312655299	8.45713046875	-0.22006341906688534	0.8261649788817234	0.8767473307451521	-6.565591681559128	-0.005547874312655299	0.8261649788817234	0.8767473307451521
TRPC5OS	-0.0052017349349624195	1.993225703125	-0.21994455519660966	0.8262573573656277	0.8768021250849839	-6.565617534288953	-0.0052017349349624195	0.8262573573656277	0.8768021250849839
LOC105373942	0.006609207373209609	3.480523671875	0.21989325656894695	0.8262972263247446	0.8768021250849839	-6.56562868735896	0.006609207373209609	0.8262972263247446	0.8768021250849839
COPS4	-0.0058882384324492176	8.542198984375	-0.2198037271388065	0.8263668090995624	0.8768038427038837	-6.565648146135526	-0.0058882384324492176	0.8263668090995624	0.8768038427038837
OBSL1	0.009523988547367636	7.5824934375	0.2197874505186973	0.8263794595281121	0.8768038427038837	-6.56565168292735	0.009523988547367636	0.8263794595281121	0.8768038427038837
CA6	-0.004659134506146286	4.84433390625	-0.21957720623334165	0.8265428685751522	0.8769344495983655	-6.5656973439664235	-0.004659134506146286	0.8265428685751522	0.8769344495983655
WBP1L	0.006272961845240779	8.589663671875	0.21877951491089845	0.8271629305953835	0.8775155578019285	-6.56587019013471	0.006272961845240779	0.8271629305953835	0.8775155578019285
LOC101928702	0.006019542206951798	2.18571671875	0.21870061489967996	0.8272242671420957	0.8775155578019285	-6.565887252265453	0.006019542206951798	0.8272242671420957	0.8775155578019285
EIF3CL	-0.008960142944872098	10.000065390625	-0.21861171792929024	0.8272933765613325	0.8775155578019285	-6.565906468871117	-0.008960142944872098	0.8272933765613325	0.8775155578019285
MYO1D	0.012158525634775407	5.61083390625	0.21859601586059627	0.8273055836516554	0.8775155578019285	-6.565909862331468	0.012158525634775407	0.8273055836516554	0.8775155578019285
MMP21	0.004915930599705456	2.318010234375	0.2185783582754412	0.8273193110485171	0.8775155578019285	-6.565913678118273	0.004915930599705456	0.8273193110485171	0.8775155578019285
PCDHGB5	0.005267218811594089	5.52056796875	0.21856123355714152	0.8273326242338873	0.8775155578019285	-6.56591737845885	0.005267218811594089	0.8273326242338873	0.8775155578019285
LINC01364	-0.00499607583864193	2.527723828125	-0.21850574724596786	0.827375761028149	0.8775185241172758	-6.565929366052838	-0.00499607583864193	0.827375761028149	0.8775185241172758
