gene	raw_value	sample_id	library_size	value_type
ADAMTS13	132	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
ADGRG7	43	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
ANGPTL6	81	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
ANLN	146	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
ASPM	230	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
BUB1B	67	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CAP2	2634	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CDHR2	4	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CDKN3	129	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CENPF	440	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CENPW	81	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CFP	25	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CLEC1B	12	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CLEC4M	15	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
COL15A1	482	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CRHBP	47	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CXCL14	20	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
CYP1A2	1192	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
ECM1	102	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
ECT2	140	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
FAHD2A	933	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
FCN2	41	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
FCN3	175	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
GJC1	93	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
HHIP	12	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
IRAK1	2787	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
ITGA6	1873	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
LINC01093	56	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
NUSAP1	5	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
PLAC8	78	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
PLVAP	10268	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
PRC1	2	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
PTTG1	312	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
RACGAP1	532	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
STAB2	6	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
TOP2A	511	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
TTC13	285	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
UBE2Q1	5476	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
VIPR1	73	TCGA-MI-A75H-01A-11R-A32O-07	40011502	counts
ADAMTS13	532	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
ADGRG7	1886	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
ANGPTL6	101	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
ANLN	2724	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
ASPM	6261	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
BUB1B	752	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CAP2	1912	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CDHR2	26	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CDKN3	1403	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CENPF	6621	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CENPW	588	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CFP	19	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CLEC1B	7	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CLEC4M	0	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
COL15A1	420	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CRHBP	6	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CXCL14	4	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
CYP1A2	17	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
ECM1	122	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
ECT2	2728	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
FAHD2A	1102	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
FCN2	170	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
FCN3	45	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
GJC1	147	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
HHIP	1	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
IRAK1	6472	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
ITGA6	2746	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
LINC01093	131	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
NUSAP1	31	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
PLAC8	121	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
PLVAP	4214	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
PRC1	20	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
PTTG1	1838	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
RACGAP1	2957	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
STAB2	17	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
TOP2A	17174	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
TTC13	784	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
UBE2Q1	6101	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
VIPR1	5	TCGA-BC-A8YO-01A-11R-A37K-07	53228718	counts
ADAMTS13	156	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
ADGRG7	56	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
ANGPTL6	67	TCGA-GJ-A3OU-01A-31R-A38B-07	35550884	counts
