gene,meta_logFC_FE,meta_FDR_FE,I2,tau2_REML,Q_p,logFC_121248,FDR_121248,logFC_41804,FDR_41804
ODF3L1,-0.44400013076150185,1.525304353817245e-8,82.97369745453086,0.4888261345342592,0.01537250833923339,-0.4135273938223936,1.8003101618080318e-6,-1.4990077902,0.01888637100299309
CLTA,0.36624917497223886,4.22556048697478e-10,0,0,0.975113515815565,0.3653043243243244,6.208332686228558e-7,0.3694194659999996,0.02734837467599217
VASH2,0.7191254808563078,4.620076463399009e-9,59.300613756130225,0.10018565278317965,0.1169991134273852,0.6554340540540533,3.5002188554866893e-6,1.2367177873999988,0.01474906767576309
CCL23,-0.6429397229265981,7.0725425595871545e-9,67.97299846634044,0.12667971413227133,0.07722461002915189,-0.5803614131274123,4.9823067198045535e-6,-1.190882011299999,0.01220155957648794
U2SURP,0.44106636193389515,5.912478722208259e-11,0,0,0.4458181235127136,0.4702056833976824,6.811009217722185e-8,0.3598202789999998,0.04594182112901947
SH3YL1,-1.4087086735308665,2.64792753491098e-13,88.24068205811511,0.555359408004472,0.00354387141020104,-1.0207384015444003,7.487472111892579e-5,-2.1426732460999984,4.1770532915675545e-5
SH3PXD2B,0.5188392180866088,4.7204050382019686e-11,0,0,0.3863964057326331,0.4989289884169872,5.249884803983848e-8,0.7291255181499994,0.04801145832337526
SEMA6D,-1.0802389054072177,4.807819745418817e-10,0,0,0.4055296853031018,-1.027804293436292,4.774348768419078e-7,-1.4357620122999988,0.03010306984852584
SLC37A4,-0.6911570429940832,9.71087858514971e-13,67.6647060540295,0.03612331748600034,0.07864924162617637,-0.550868613899613,7.156063602497674e-5,-0.8776277296499994,8.559084097334515e-5
PPP2CA,0.3585047034545632,1.7555794441607247e-9,0,0,0.8920882224333128,0.35338594594594513,5.5896353718330886e-6,0.3698879385000002,0.0116641612434003
COLEC11,-1.4532835565786617,5.201713548470935e-10,0,0,0.5729976839361606,-1.3981755444015418,6.187475873265922e-7,-1.7354952800499994,0.02827378274356638
ANG,-1.2107044804601788,2.671019557428193e-9,0,0,0.36253899465944783,-1.1171523861003847,7.835545533894543e-6,-1.5378711097499975,0.00932196349203961
NPC1,0.6800052987690813,5.509508494977744e-10,13.546869790133591,0.00375092305165227,0.2821517920361999,0.5998981583011576,3.846628416341081e-5,0.8352212778999992,0.00148916517368957
LOC101928274,0.7079011670909806,4.5435626465297026e-11,0,0,0.9042482773320526,0.7025797220077208,6.61762242327478e-8,0.736104574399999,0.04731482627330822
SMC3,0.5029331244423768,9.878049795055343e-10,6.409329078682898,8.727854683957477e-4,0.3012884504088637,0.5669315637065626,8.366925001487981e-7,0.4019017284999988,0.02624299942877207
ABHD14A-ACY1,-0.8276671371127224,1.091562699374894e-10,0,0,0.33670737076540036,-0.7292561930501921,5.6953971295690885e-5,-0.9659385672,6.325253634988873e-4
SORL1,-1.062128387109375,1.7986276993086163e-9,0,0,0.8913350262122065,-1.077990760617759,4.008496439516339e-6,-1.0293900152500002,0.01499289115062299
PBXIP1,0.43376329399375135,4.990064139731152e-10,0,0,0.6713847476025339,0.45137121235521177,5.923938904908533e-7,0.3892758205,0.02979267009582146
MUC3B,-0.3467239958449693,9.680742562166011e-9,83.63233960926823,0.5943156753019464,0.01344488934173878,-0.3298235752895753,7.125493253222739e-7,-1.5219888489999986,0.02794777985943049
SLC27A5,-1.4326073740888237,2.69369508635177e-9,16.47936515043448,0.02766268630901272,0.2738602052707804,-1.2912708223938203,1.602471511818025e-5,-1.870688759149998,0.00516864275893684
TIAM1,-0.8872925475962914,1.379355068858071e-9,0,0,0.6511568195994505,-0.9322860077220066,2.119165706175412e-6,-0.8002453311999995,0.01955975884169416
RRS1,0.6987526109154504,1.147439333847432e-9,0,0,0.6623866660291446,0.7316985907335898,1.6211221770021298e-6,0.6306415336500009,0.02177042718407038
AP4M1,0.3532949791889253,1.8770171892946153e-8,82.53744096374085,0.2988291124333902,0.01671039843065383,0.32898703861003786,2.0782989360485477e-6,1.1799309798999993,0.01989332894251463
